Condition,mean_los,prevalence_pct
Asthma,5.013,3.527
Major Psych Disorder,5.209,23.904
Depress,5.229,5.166
Substance Dependence,5.346,6.306
Irondef,5.414,9.494
Pneum,5.579,3.945
Hemo,5.744,8.000
Malnutrition,5.805,4.948
Psychother,5.986,4.939
Dialysis / Renal,6.061,3.642
Fibrosis & Other,6.115,0.479
